traffic_density,horn_events_per_min,avg_speed,signal_wait_time,weather_condition,road_quality_score,driver_experience_level,stress_index,Risk_Level,Insurance_Premium
89,11.43,46.06,46.18,Hot,9.53,Expert,39.21,Medium,5000
43,4.5,51.29,30.92,Clear,3.39,Intermediate,47.16,Medium,5000
41,7.76,59.39,23.22,Clear,4.99,Expert,32.71,Low,3000
99,12.07,49.92,52.66,Hot,7.44,Beginner,69.77,High,8000
98,14.37,31.8,52.31,Hot,9.38,Intermediate,60.46,Medium,5000
75,10.16,51.2,46.27,Clear,9.03,Expert,46.51,Medium,5000
21,6.06,78.38,17.22,Foggy,8.76,Intermediate,17.54,Low,3000
49,6.0,48.73,32.09,Clear,7.5,Intermediate,30.13,Low,3000
82,12.94,47.79,48.3,Hot,7.23,Intermediate,53.34,Medium,5000
85,11.06,42.47,46.04,Clear,9.58,Beginner,57.92,Medium,5000
99,9.98,44.41,58.27,Foggy,9.64,Beginner,71.34,High,8000
82,13.82,49.18,44.17,Clear,6.28,Beginner,62.04,Medium,5000
19,2.5,73.21,13.46,Rainy,6.34,Intermediate,28.66,Low,3000
105,13.23,39.05,64.62,Clear,4.26,Intermediate,69.78,High,8000
107,13.05,33.65,56.02,Clear,7.47,Beginner,67.88,High,8000
57,8.11,67.14,25.46,Clear,7.53,Intermediate,35.1,Medium,5000
29,8.71,63.85,22.23,Rainy,4.59,Beginner,39.13,Medium,5000
48,4.04,54.01,31.84,Clear,8.06,Beginner,40.9,Medium,5000
69,11.02,53.92,39.05,Rainy,4.96,Intermediate,55.88,Medium,5000
75,7.29,51.74,39.13,Clear,6.6,Expert,38.23,Medium,5000
74,9.22,54.64,44.08,Clear,9.22,Intermediate,50.11,Medium,5000
60,8.84,58.97,39.02,Rainy,9.67,Intermediate,34.58,Low,3000
45,4.01,55.57,22.39,Clear,4.88,Expert,31.9,Low,3000
33,5.65,61.9,25.44,Hot,5.78,Beginner,34.08,Low,3000
36,4.68,68.72,18.89,Foggy,8.9,Beginner,24.78,Low,3000
11,0.0,68.27,12.17,Rainy,8.16,Beginner,13.19,Low,3000
40,4.53,70.54,24.04,Clear,8.35,Intermediate,21.18,Low,3000
66,14.94,52.0,33.61,Clear,1.26,Intermediate,61.73,Medium,5000
87,12.92,42.48,49.26,Hot,4.66,Expert,56.2,Medium,5000
75,10.51,56.44,43.29,Clear,8.04,Intermediate,44.34,Medium,5000
38,2.75,63.46,23.75,Foggy,10.0,Intermediate,24.18,Low,3000
24,4.1,74.55,12.18,Clear,5.76,Beginner,36.56,Medium,5000
21,4.99,63.68,16.04,Clear,6.97,Expert,30.16,Low,3000
110,15.67,32.44,59.13,Rainy,4.77,Intermediate,62.74,Medium,5000
37,3.35,70.43,25.81,Hot,10.0,Intermediate,21.69,Low,3000
93,18.77,44.71,52.11,Clear,4.9,Intermediate,59.95,Medium,5000
112,10.13,45.62,62.09,Clear,8.74,Intermediate,64.08,Medium,5000
33,4.67,80.28,20.55,Foggy,5.02,Expert,28.17,Low,3000
30,7.74,70.18,20.96,Clear,2.3,Intermediate,40.8,Medium,5000
19,3.68,68.63,19.23,Clear,7.74,Beginner,28.52,Low,3000
119,10.36,36.83,68.08,Clear,6.81,Expert,53.26,Medium,5000
87,9.85,51.91,45.56,Rainy,8.18,Intermediate,45.84,Medium,5000
110,13.82,40.11,59.04,Foggy,7.41,Intermediate,55.42,Medium,5000
27,6.55,72.55,19.9,Hot,4.92,Beginner,36.2,Medium,5000
97,14.6,49.28,57.15,Clear,6.47,Intermediate,51.4,Medium,5000
23,1.21,63.46,18.94,Clear,9.29,Intermediate,21.03,Low,3000
43,3.75,67.72,30.76,Clear,8.49,Intermediate,40.54,Medium,5000
67,5.14,54.37,27.96,Clear,8.12,Intermediate,42.38,Medium,5000
85,10.85,40.48,41.58,Clear,10.0,Beginner,51.27,Medium,5000
31,3.94,70.73,19.9,Rainy,8.13,Intermediate,18.67,Low,3000
79,6.64,47.94,46.52,Clear,8.92,Intermediate,36.46,Medium,5000
45,12.99,64.61,28.52,Rainy,3.94,Intermediate,41.41,Medium,5000
54,5.1,64.66,35.0,Hot,8.98,Beginner,49.32,Medium,5000
45,8.37,55.67,29.25,Foggy,7.74,Beginner,38.61,Medium,5000
31,1.89,72.49,18.55,Clear,8.45,Expert,21.54,Low,3000
87,11.93,47.8,51.06,Clear,7.45,Intermediate,46.37,Medium,5000
89,6.83,52.71,49.19,Clear,8.69,Beginner,57.6,Medium,5000
70,9.02,54.54,43.66,Foggy,7.5,Intermediate,40.92,Medium,5000
109,16.67,34.75,61.44,Hot,7.39,Intermediate,57.61,Medium,5000
65,10.47,58.6,40.26,Foggy,10.0,Intermediate,31.77,Low,3000
98,16.86,38.71,55.02,Rainy,7.69,Beginner,69.65,High,8000
105,9.12,32.44,59.48,Clear,10.0,Intermediate,54.57,Medium,5000
42,7.58,55.47,26.65,Hot,8.14,Expert,25.11,Low,3000
54,7.99,51.56,35.09,Foggy,9.84,Intermediate,41.22,Medium,5000
45,13.69,62.6,29.52,Foggy,7.22,Intermediate,33.25,Low,3000
29,4.92,71.08,18.8,Clear,5.85,Expert,14.72,Low,3000
27,3.54,72.24,17.71,Clear,5.89,Intermediate,23.17,Low,3000
47,8.2,67.61,34.18,Clear,6.47,Intermediate,34.36,Low,3000
76,12.94,45.53,37.08,Hot,2.98,Intermediate,62.12,Medium,5000
32,7.3,63.54,20.74,Hot,5.2,Intermediate,39.62,Medium,5000
105,9.4,34.95,60.11,Clear,9.12,Expert,49.1,Medium,5000
118,13.1,41.88,63.6,Rainy,8.82,Intermediate,54.23,Medium,5000
25,3.17,63.96,15.64,Clear,7.76,Expert,23.96,Low,3000
68,5.34,55.0,40.55,Clear,10.0,Beginner,41.45,Medium,5000
78,12.48,48.36,43.87,Clear,5.67,Intermediate,50.0,Medium,5000
77,9.87,45.98,47.33,Clear,7.94,Intermediate,50.95,Medium,5000
30,3.18,64.95,18.06,Clear,8.46,Beginner,29.89,Low,3000
113,10.56,28.86,58.5,Clear,6.55,Beginner,74.9,High,8000
87,12.54,41.04,52.88,Foggy,6.14,Intermediate,57.47,Medium,5000
112,13.15,36.89,56.99,Clear,6.91,Expert,47.55,Medium,5000
104,14.24,38.63,61.86,Foggy,6.12,Expert,49.36,Medium,5000
87,7.6,44.31,50.95,Rainy,10.0,Intermediate,50.31,Medium,5000
79,12.15,32.61,46.53,Foggy,6.81,Beginner,59.56,Medium,5000
21,0.0,70.29,17.95,Hot,8.05,Beginner,21.34,Low,3000
25,3.94,76.94,18.28,Clear,6.26,Intermediate,26.21,Low,3000
90,11.39,49.11,47.52,Clear,10.0,Intermediate,39.43,Medium,5000
118,17.9,39.08,59.79,Clear,7.09,Intermediate,66.81,High,8000
96,9.59,38.4,45.68,Clear,4.45,Intermediate,66.46,High,8000
23,4.96,64.33,11.5,Clear,5.32,Intermediate,33.86,Low,3000
70,13.34,47.76,34.78,Rainy,8.81,Expert,38.77,Medium,5000
80,14.91,45.64,50.09,Foggy,7.38,Intermediate,51.13,Medium,5000
55,6.23,52.08,36.01,Clear,8.96,Beginner,36.91,Medium,5000
41,6.17,62.17,23.2,Clear,9.15,Intermediate,34.65,Low,3000
24,1.43,73.0,14.87,Clear,6.53,Expert,15.61,Low,3000
53,10.73,69.26,26.51,Clear,6.99,Intermediate,45.99,Medium,5000
26,0.0,62.56,19.83,Rainy,6.34,Intermediate,27.55,Low,3000
50,7.86,73.23,24.98,Clear,7.97,Expert,27.87,Low,3000
63,13.76,51.22,32.18,Hot,4.23,Beginner,63.23,Medium,5000
53,10.68,52.74,38.49,Rainy,6.77,Intermediate,35.97,Medium,5000
107,9.96,30.94,55.85,Clear,6.19,Intermediate,71.47,High,8000
14,1.18,81.75,14.03,Clear,7.28,Intermediate,17.34,Low,3000
118,13.98,29.59,66.44,Clear,6.4,Beginner,81.14,High,8000
36,6.7,57.99,20.8,Foggy,7.95,Beginner,44.23,Medium,5000
96,6.68,39.36,48.27,Hot,9.51,Intermediate,50.45,Medium,5000
113,7.17,45.04,58.16,Clear,9.81,Expert,38.36,Medium,5000
87,13.93,47.77,50.09,Foggy,6.4,Beginner,76.87,High,8000
88,7.94,46.4,46.83,Clear,9.16,Beginner,62.44,Medium,5000
52,10.31,54.7,26.16,Clear,2.35,Beginner,60.28,Medium,5000
106,14.66,35.98,56.01,Rainy,8.18,Beginner,68.78,High,8000
40,8.45,63.8,23.41,Hot,4.39,Intermediate,41.83,Medium,5000
108,7.54,32.48,59.63,Clear,9.14,Intermediate,51.83,Medium,5000
26,4.28,75.09,20.35,Clear,9.59,Intermediate,27.46,Low,3000
101,12.21,35.01,51.57,Rainy,8.43,Beginner,68.3,High,8000
92,10.04,46.06,52.43,Foggy,6.38,Beginner,62.38,Medium,5000
119,21.63,30.61,62.41,Rainy,5.1,Intermediate,69.46,High,8000
63,7.49,62.03,38.18,Clear,7.14,Intermediate,38.51,Medium,5000
71,7.85,46.45,42.66,Hot,6.7,Intermediate,48.13,Medium,5000
96,15.07,43.32,55.98,Hot,7.11,Expert,46.78,Medium,5000
41,10.45,65.7,24.2,Foggy,7.47,Beginner,35.09,Medium,5000
49,5.2,57.04,31.59,Foggy,9.33,Intermediate,34.91,Low,3000
22,4.39,76.84,21.1,Foggy,5.62,Intermediate,28.23,Low,3000
93,11.96,49.7,47.34,Clear,4.72,Intermediate,56.34,Medium,5000
44,7.99,65.24,31.03,Clear,7.05,Beginner,42.66,Medium,5000
14,5.11,70.44,12.88,Rainy,6.9,Intermediate,18.51,Low,3000
82,13.35,42.11,37.78,Hot,7.34,Intermediate,49.92,Medium,5000
38,10.25,63.24,24.27,Foggy,7.69,Intermediate,29.28,Low,3000
79,9.24,46.27,43.24,Clear,7.13,Intermediate,54.24,Medium,5000
34,2.85,64.46,21.98,Clear,5.44,Expert,27.8,Low,3000
104,14.65,40.86,56.9,Foggy,7.57,Intermediate,58.4,Medium,5000
31,5.73,62.44,21.32,Rainy,10.0,Beginner,33.9,Low,3000
75,7.77,47.55,38.76,Clear,7.06,Expert,40.84,Medium,5000
54,7.75,58.4,31.28,Rainy,7.49,Beginner,38.61,Medium,5000
78,6.88,50.99,46.02,Clear,9.51,Expert,30.88,Low,3000
100,13.08,46.68,57.35,Hot,5.22,Intermediate,54.05,Medium,5000
98,11.84,41.0,54.68,Foggy,6.85,Intermediate,64.35,Medium,5000
81,8.26,51.55,44.55,Hot,9.27,Intermediate,45.04,Medium,5000
10,2.06,73.3,12.56,Clear,8.67,Expert,17.34,Low,3000
93,8.76,39.97,45.35,Foggy,8.59,Beginner,59.36,Medium,5000
53,10.24,54.36,33.56,Rainy,2.44,Intermediate,55.31,Medium,5000
96,13.44,45.04,53.25,Clear,5.7,Beginner,76.37,High,8000
105,11.7,45.17,56.75,Clear,4.15,Intermediate,71.11,High,8000
84,11.1,46.86,45.45,Hot,9.9,Beginner,55.28,Medium,5000
48,6.29,65.51,27.73,Rainy,8.06,Intermediate,41.86,Medium,5000
63,7.99,54.8,32.72,Clear,6.98,Beginner,44.0,Medium,5000
97,10.05,47.58,52.22,Hot,5.57,Intermediate,56.41,Medium,5000
84,4.93,43.72,47.33,Clear,6.37,Intermediate,54.48,Medium,5000
38,5.71,69.63,24.66,Foggy,10.0,Intermediate,27.8,Low,3000
63,12.58,48.68,35.37,Foggy,7.07,Intermediate,39.01,Medium,5000
99,17.13,40.0,59.16,Rainy,5.83,Intermediate,65.59,High,8000
25,4.59,74.55,18.63,Rainy,4.72,Intermediate,29.83,Low,3000
108,11.1,37.61,59.39,Clear,10.0,Intermediate,55.36,Medium,5000
29,8.64,62.72,23.97,Hot,7.03,Intermediate,28.0,Low,3000
55,9.74,57.22,33.31,Clear,6.37,Expert,29.99,Low,3000
76,13.28,51.22,42.7,Rainy,4.39,Intermediate,53.66,Medium,5000
74,12.1,53.93,37.06,Clear,5.23,Intermediate,45.53,Medium,5000
67,7.82,60.4,38.85,Clear,9.45,Beginner,51.54,Medium,5000
62,9.34,58.07,35.18,Rainy,3.88,Intermediate,45.74,Medium,5000
10,4.78,75.96,11.34,Foggy,4.54,Expert,22.76,Low,3000
90,12.55,43.46,50.12,Clear,6.32,Intermediate,55.92,Medium,5000
75,10.76,51.94,41.74,Clear,8.02,Beginner,50.78,Medium,5000
38,3.41,70.86,32.04,Rainy,7.29,Intermediate,31.91,Low,3000
93,18.53,40.6,52.21,Foggy,6.0,Intermediate,53.3,Medium,5000
79,12.3,41.31,44.08,Clear,5.93,Intermediate,63.11,Medium,5000
17,4.44,76.8,12.5,Rainy,5.8,Beginner,28.8,Low,3000
38,5.39,63.87,24.33,Clear,6.87,Expert,27.36,Low,3000
60,4.46,59.39,39.81,Clear,5.38,Intermediate,39.49,Medium,5000
42,7.37,68.46,26.2,Clear,7.6,Intermediate,29.86,Low,3000
12,0.0,67.56,11.53,Foggy,9.59,Beginner,23.16,Low,3000
69,6.87,53.27,41.61,Clear,9.23,Intermediate,46.43,Medium,5000
44,3.66,59.39,32.5,Clear,3.87,Beginner,46.68,Medium,5000
78,15.0,53.54,44.31,Rainy,5.0,Intermediate,52.23,Medium,5000
100,12.08,33.07,57.08,Rainy,8.05,Beginner,61.49,Medium,5000
117,15.45,33.82,64.27,Rainy,7.37,Beginner,81.31,High,8000
85,10.26,47.1,55.46,Clear,7.51,Intermediate,58.89,Medium,5000
93,9.89,42.75,52.54,Rainy,10.0,Beginner,59.7,Medium,5000
118,12.17,37.94,64.93,Foggy,10.0,Expert,52.57,Medium,5000
29,3.75,59.97,15.26,Clear,8.62,Intermediate,28.7,Low,3000
82,15.06,50.34,45.16,Clear,4.06,Intermediate,55.23,Medium,5000
48,4.04,60.65,29.71,Rainy,6.71,Intermediate,43.85,Medium,5000
13,0.0,72.41,14.22,Foggy,9.82,Beginner,17.29,Low,3000
28,1.09,60.3,19.92,Foggy,10.0,Intermediate,19.76,Low,3000
111,17.87,32.22,58.92,Rainy,6.62,Intermediate,61.98,Medium,5000
100,9.53,38.5,58.95,Clear,8.07,Intermediate,54.18,Medium,5000
54,3.48,58.06,27.07,Rainy,8.46,Intermediate,41.34,Medium,5000
52,6.37,60.25,32.38,Clear,8.8,Intermediate,36.68,Medium,5000
22,1.41,69.11,13.66,Clear,9.32,Expert,12.4,Low,3000
22,12.7,71.08,17.58,Hot,1.81,Intermediate,47.07,Medium,5000
69,12.26,46.66,43.34,Hot,8.46,Beginner,59.02,Medium,5000
66,9.62,55.51,34.87,Rainy,6.87,Intermediate,47.54,Medium,5000
95,11.01,46.53,54.43,Clear,7.44,Intermediate,50.3,Medium,5000
101,15.28,41.56,54.52,Rainy,5.15,Beginner,71.03,High,8000
61,9.65,50.99,35.99,Rainy,5.41,Intermediate,47.83,Medium,5000
62,9.81,57.96,38.48,Rainy,6.54,Intermediate,53.0,Medium,5000
118,12.78,20.25,64.41,Rainy,8.24,Beginner,69.97,High,8000
95,10.41,37.13,55.83,Clear,4.22,Intermediate,73.57,High,8000
52,10.04,56.09,36.68,Clear,7.15,Expert,28.63,Low,3000
92,14.48,46.17,53.01,Foggy,10.0,Intermediate,46.12,Medium,5000
81,13.94,52.47,45.02,Hot,10.0,Intermediate,40.29,Medium,5000
81,13.46,40.3,49.57,Foggy,7.24,Intermediate,66.19,High,8000
51,10.98,62.21,30.04,Rainy,6.4,Intermediate,42.92,Medium,5000
99,12.28,39.14,50.52,Clear,6.34,Intermediate,61.86,Medium,5000
35,2.64,61.68,24.07,Clear,8.36,Intermediate,24.09,Low,3000
32,2.96,72.58,19.02,Clear,8.3,Expert,17.65,Low,3000
52,12.07,57.4,36.33,Rainy,6.52,Intermediate,50.75,Medium,5000
86,9.39,50.92,46.55,Clear,5.48,Intermediate,56.52,Medium,5000
37,9.98,57.72,21.63,Rainy,4.72,Expert,29.49,Low,3000
18,3.42,75.86,18.51,Hot,6.71,Beginner,27.58,Low,3000
29,3.5,73.12,22.89,Clear,9.41,Intermediate,18.85,Low,3000
65,5.81,48.59,36.32,Clear,5.5,Beginner,49.22,Medium,5000
92,12.53,44.18,50.93,Clear,6.02,Intermediate,62.43,Medium,5000
48,7.67,59.35,28.58,Clear,6.73,Beginner,37.7,Medium,5000
60,11.51,55.75,36.45,Rainy,5.42,Intermediate,51.44,Medium,5000
21,0.75,75.94,14.26,Rainy,10.0,Intermediate,13.92,Low,3000
88,12.04,42.93,48.12,Rainy,8.11,Intermediate,47.46,Medium,5000
104,16.09,37.81,59.77,Foggy,8.63,Intermediate,61.94,Medium,5000
64,8.89,54.24,33.63,Clear,4.75,Intermediate,46.76,Medium,5000
87,15.24,34.5,52.32,Rainy,6.53,Beginner,68.11,High,8000
20,3.37,65.35,14.81,Rainy,8.53,Intermediate,22.98,Low,3000
35,3.59,68.76,19.42,Clear,7.64,Beginner,31.22,Low,3000
51,7.4,55.57,30.52,Clear,10.0,Beginner,42.24,Medium,5000
36,8.05,66.54,24.68,Rainy,8.51,Beginner,31.78,Low,3000
20,1.92,69.87,18.38,Clear,5.8,Intermediate,26.71,Low,3000
47,6.0,72.03,24.81,Foggy,7.11,Beginner,45.01,Medium,5000
107,13.47,43.83,60.78,Clear,7.86,Expert,43.66,Medium,5000
52,6.61,61.34,29.43,Clear,9.13,Expert,20.83,Low,3000
28,5.17,75.59,22.62,Clear,2.12,Intermediate,38.35,Medium,5000
73,10.29,43.98,42.52,Rainy,5.3,Beginner,53.37,Medium,5000
15,3.52,82.08,10.53,Clear,7.69,Expert,11.64,Low,3000
55,12.29,54.93,28.35,Clear,2.38,Beginner,60.18,Medium,5000
111,6.28,34.05,57.14,Clear,9.46,Expert,42.5,Medium,5000
51,5.94,65.8,31.79,Clear,7.28,Intermediate,32.06,Low,3000
101,9.34,38.14,52.45,Clear,6.77,Expert,47.84,Medium,5000
74,11.12,50.41,37.67,Clear,4.19,Intermediate,52.34,Medium,5000
108,14.3,35.74,57.76,Rainy,10.0,Expert,50.88,Medium,5000
113,19.45,42.49,61.26,Rainy,4.45,Expert,56.05,Medium,5000
81,4.89,48.53,47.33,Clear,9.32,Beginner,53.56,Medium,5000
68,6.58,48.81,40.33,Clear,10.0,Intermediate,36.71,Medium,5000
61,6.73,53.69,36.04,Hot,10.0,Intermediate,35.0,Medium,5000
56,8.19,52.24,36.67,Foggy,7.57,Beginner,49.91,Medium,5000
16,1.08,68.99,12.31,Foggy,6.55,Expert,20.28,Low,3000
20,2.6,68.72,8.88,Clear,8.92,Intermediate,13.11,Low,3000
112,13.8,25.91,58.56,Clear,6.86,Expert,55.68,Medium,5000
70,4.52,55.02,39.24,Rainy,7.68,Intermediate,43.87,Medium,5000
77,11.47,51.91,46.78,Clear,4.66,Intermediate,54.47,Medium,5000
34,2.12,67.36,21.86,Clear,8.8,Expert,31.68,Low,3000
21,5.48,67.37,19.57,Clear,5.71,Beginner,26.05,Low,3000
35,3.3,70.28,24.3,Clear,9.85,Beginner,39.51,Medium,5000
111,11.4,37.98,62.63,Clear,4.52,Intermediate,65.79,High,8000
119,15.95,28.2,64.55,Rainy,6.02,Intermediate,80.4,High,8000
21,4.2,76.24,11.74,Rainy,6.6,Intermediate,16.24,Low,3000
52,9.0,57.46,29.88,Clear,5.85,Intermediate,35.32,Medium,5000
60,5.45,60.42,37.2,Clear,5.95,Expert,33.95,Low,3000
46,4.7,59.95,28.73,Rainy,7.23,Expert,27.69,Low,3000
55,7.51,61.85,35.5,Clear,5.8,Intermediate,42.86,Medium,5000
62,7.81,49.19,37.95,Rainy,5.55,Intermediate,50.07,Medium,5000
97,12.5,37.74,57.28,Foggy,6.54,Expert,40.6,Medium,5000
89,7.78,49.48,46.19,Clear,8.8,Intermediate,46.88,Medium,5000
22,3.07,64.36,14.74,Clear,9.53,Intermediate,20.03,Low,3000
98,13.75,42.54,51.95,Rainy,5.81,Expert,51.27,Medium,5000
63,5.41,54.34,36.12,Clear,7.5,Intermediate,42.53,Medium,5000
66,8.36,49.32,41.61,Clear,7.79,Intermediate,41.48,Medium,5000
13,1.66,76.38,12.05,Clear,9.92,Expert,10.76,Low,3000
84,15.63,42.72,45.28,Foggy,10.0,Beginner,63.51,Medium,5000
105,11.5,50.79,62.43,Hot,2.42,Intermediate,73.09,High,8000
58,12.72,53.03,33.06,Rainy,3.33,Intermediate,58.9,Medium,5000
16,1.56,80.4,9.12,Clear,6.8,Intermediate,23.81,Low,3000
119,14.59,36.23,63.54,Clear,4.69,Intermediate,82.53,High,8000
20,2.43,72.31,12.7,Clear,5.31,Expert,19.12,Low,3000
101,12.24,39.28,54.86,Clear,4.06,Beginner,84.99,High,8000
63,7.63,52.47,31.95,Clear,7.59,Beginner,52.36,Medium,5000
114,16.63,37.86,61.86,Rainy,6.31,Intermediate,62.27,Medium,5000
96,12.57,39.74,55.9,Clear,9.27,Intermediate,53.72,Medium,5000
54,7.85,51.12,31.98,Hot,6.63,Beginner,46.38,Medium,5000
32,4.09,63.63,22.47,Clear,7.23,Expert,24.74,Low,3000
37,4.82,62.24,22.14,Rainy,10.0,Beginner,29.45,Low,3000
116,14.48,29.99,65.38,Foggy,7.53,Intermediate,66.17,High,8000
66,7.08,50.84,33.37,Clear,7.26,Intermediate,41.5,Medium,5000
35,7.68,66.33,20.46,Clear,4.65,Intermediate,42.81,Medium,5000
34,0.0,57.71,19.77,Clear,7.26,Intermediate,35.17,Medium,5000
63,6.68,50.55,37.29,Hot,5.83,Expert,32.88,Low,3000
38,4.27,57.58,22.32,Clear,7.18,Beginner,41.35,Medium,5000
92,11.86,39.99,47.78,Clear,4.0,Expert,55.33,Medium,5000
106,17.05,40.9,56.86,Foggy,6.5,Beginner,68.36,High,8000
45,12.22,64.16,26.53,Rainy,4.68,Intermediate,43.12,Medium,5000
23,1.94,72.4,13.85,Clear,10.0,Expert,18.32,Low,3000
87,6.57,49.9,49.58,Clear,8.97,Intermediate,54.01,Medium,5000
44,5.34,57.83,27.4,Clear,7.07,Intermediate,29.04,Low,3000
39,6.7,69.82,21.66,Clear,7.18,Beginner,37.86,Medium,5000
101,11.65,33.05,51.81,Clear,6.99,Beginner,70.86,High,8000
26,0.14,64.37,18.74,Clear,9.38,Intermediate,23.28,Low,3000
76,14.53,59.33,48.33,Rainy,5.9,Intermediate,53.34,Medium,5000
89,8.47,49.17,49.11,Clear,10.0,Intermediate,45.02,Medium,5000
119,11.4,38.83,63.67,Clear,6.62,Intermediate,61.79,Medium,5000
39,9.59,69.82,23.11,Hot,3.8,Intermediate,45.28,Medium,5000
102,11.64,29.71,55.45,Clear,7.41,Expert,47.74,Medium,5000
54,5.93,46.4,29.06,Clear,7.31,Intermediate,36.15,Medium,5000
88,17.55,42.49,51.02,Foggy,6.1,Intermediate,51.62,Medium,5000
119,16.52,41.01,67.59,Foggy,5.08,Beginner,84.29,High,8000
98,10.7,57.23,51.0,Clear,3.74,Intermediate,64.38,Medium,5000
60,6.52,58.48,38.47,Rainy,5.75,Expert,29.65,Low,3000
111,13.87,43.26,57.3,Rainy,7.9,Expert,48.46,Medium,5000
115,15.21,34.24,65.96,Rainy,8.83,Intermediate,67.51,High,8000
56,2.67,57.62,36.57,Foggy,10.0,Intermediate,39.9,Medium,5000
62,9.1,47.88,38.92,Rainy,10.0,Beginner,46.01,Medium,5000
73,12.49,42.92,42.48,Hot,4.58,Intermediate,55.89,Medium,5000
47,9.06,59.26,25.34,Foggy,4.33,Intermediate,32.99,Low,3000
73,6.82,58.76,39.2,Clear,5.42,Intermediate,46.4,Medium,5000
96,13.77,41.97,49.63,Hot,7.36,Intermediate,56.78,Medium,5000
98,11.63,44.08,56.93,Clear,5.37,Expert,43.88,Medium,5000
115,11.39,36.5,63.86,Rainy,6.74,Beginner,82.49,High,8000
16,3.19,70.24,12.41,Foggy,6.62,Intermediate,18.82,Low,3000
31,3.15,66.15,20.83,Clear,7.84,Expert,27.39,Low,3000
90,12.92,46.08,48.75,Clear,7.11,Expert,44.09,Medium,5000
91,15.2,44.68,47.37,Hot,8.56,Beginner,65.99,High,8000
50,4.02,64.7,26.72,Clear,6.41,Intermediate,38.71,Medium,5000
83,9.76,51.13,44.11,Clear,8.9,Beginner,53.75,Medium,5000
19,5.88,83.43,10.01,Rainy,3.33,Intermediate,36.02,Medium,5000
66,8.65,57.56,34.04,Clear,6.2,Intermediate,53.82,Medium,5000
16,0.0,68.91,11.71,Foggy,7.85,Intermediate,30.17,Low,3000
59,7.07,47.0,32.41,Clear,6.7,Intermediate,40.29,Medium,5000
111,15.1,32.54,56.99,Hot,3.58,Beginner,87.24,High,8000
100,12.6,40.16,56.28,Hot,4.61,Beginner,74.69,High,8000
61,7.42,59.11,30.3,Rainy,5.31,Expert,35.51,Medium,5000
42,7.79,67.0,30.25,Rainy,4.94,Expert,33.85,Low,3000
10,1.83,78.29,12.93,Rainy,7.03,Intermediate,20.69,Low,3000
117,13.98,30.38,58.56,Clear,4.71,Beginner,84.26,High,8000
62,5.92,51.9,31.06,Clear,9.06,Intermediate,37.5,Medium,5000
69,17.41,50.67,38.42,Foggy,5.51,Beginner,65.39,High,8000
43,12.76,62.85,23.59,Rainy,4.94,Beginner,45.85,Medium,5000
13,1.51,81.25,11.24,Foggy,8.99,Intermediate,13.7,Low,3000
26,6.38,71.45,20.74,Rainy,6.79,Intermediate,26.26,Low,3000
13,0.0,74.7,12.41,Clear,5.13,Intermediate,23.56,Low,3000
52,5.37,58.87,27.55,Clear,8.09,Beginner,43.12,Medium,5000
99,13.1,49.0,56.0,Clear,5.19,Expert,46.43,Medium,5000
13,1.49,71.09,10.63,Foggy,7.9,Beginner,15.22,Low,3000
10,3.93,75.68,11.68,Rainy,6.21,Intermediate,21.2,Low,3000
80,20.86,54.9,47.47,Foggy,3.09,Beginner,72.91,High,8000
103,16.12,42.14,57.27,Foggy,6.03,Intermediate,61.42,Medium,5000
59,8.76,54.22,37.34,Clear,10.0,Intermediate,37.15,Medium,5000
82,6.53,49.1,45.67,Clear,10.0,Intermediate,39.87,Medium,5000
70,8.01,56.7,38.15,Clear,8.59,Intermediate,38.97,Medium,5000
44,9.18,61.13,24.7,Clear,10.0,Beginner,37.33,Medium,5000
17,0.09,75.25,13.31,Clear,7.09,Expert,23.71,Low,3000
33,5.34,66.82,19.18,Clear,7.99,Intermediate,28.29,Low,3000
92,14.13,43.37,46.05,Foggy,6.87,Intermediate,58.35,Medium,5000
45,10.26,61.44,23.95,Rainy,5.24,Beginner,49.47,Medium,5000
59,8.6,52.34,37.73,Clear,5.05,Intermediate,45.57,Medium,5000
52,12.18,53.26,28.41,Rainy,8.41,Expert,36.78,Medium,5000
36,9.38,75.33,18.65,Clear,3.97,Beginner,49.06,Medium,5000
41,7.29,64.28,23.54,Rainy,5.96,Beginner,40.6,Medium,5000
87,7.3,43.12,48.87,Clear,8.73,Beginner,47.4,Medium,5000
27,1.04,65.44,17.11,Hot,10.0,Intermediate,20.81,Low,3000
37,3.72,69.98,27.21,Clear,8.97,Beginner,26.05,Low,3000
38,9.89,63.23,25.73,Foggy,5.24,Expert,33.3,Low,3000
25,5.75,57.89,22.66,Rainy,7.27,Beginner,34.91,Low,3000
108,16.23,28.71,54.66,Rainy,5.54,Expert,48.84,Medium,5000
56,8.37,56.18,30.37,Hot,6.95,Beginner,57.5,Medium,5000
68,7.42,53.06,36.24,Clear,9.09,Beginner,55.56,Medium,5000
40,8.6,67.91,22.35,Clear,4.73,Expert,29.2,Low,3000
13,1.05,76.42,10.65,Clear,6.56,Intermediate,21.15,Low,3000
46,15.27,67.57,30.51,Foggy,2.19,Expert,41.94,Medium,5000
26,5.36,70.84,20.4,Clear,6.13,Intermediate,32.74,Low,3000
48,5.71,70.71,29.07,Clear,7.18,Expert,23.12,Low,3000
57,8.21,58.81,37.36,Clear,5.19,Expert,40.07,Medium,5000
